epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.04145,3.02935,4.40982,10.9524,2.5526,0,0,0,0,0,0,0,0,4.96294,4.84618,10.244,3.38754,4e-05,4e-05,4e-05
2,8.46372,3.25154,4.49917,11.7124,2.59892,0,0,0,0,0,0,0,0,4.92023,4.74702,10.4739,3.36567,9.01e-05,9.01e-05,9.01e-05
3,9.68086,3.02113,4.13658,11.0877,2.46282,0.00667,1,0.01219,0.0028,0.00667,1,0.01219,0.00492,1.98392,3.11536,5.67799,1.73713,0.00012832,0.00012832,0.00012832
4,11.174,1.76062,2.8448,5.37934,1.51376,0.83073,0.8203,0.86561,0.32274,0.83073,0.8203,0.86561,0.45619,1.58189,1.48615,6.22646,1.63773,0.00015466,0.00015466,0.00015466
5,12.715,1.67149,2.02541,3.8465,1.38474,0.76778,0.66667,0.85852,0.40102,0.76778,0.66667,0.85852,0.46533,1.74448,1.55679,3.94988,1.32768,0.00016912,0.00016912,0.00016912
6,14.181,1.56442,1.71406,2.89244,1.15585,0.74081,1,0.89833,0.32752,0.74081,1,0.89833,0.45762,1.88705,1.83216,3.63639,1.47739,0.0001717,0.0001717,0.0001717
7,15.4662,1.56135,2.1343,2.7992,1.29723,1,0.97556,0.995,0.33936,1,0.97556,0.995,0.43707,1.88599,1.8346,3.45687,1.5223,0.0001624,0.0001624,0.0001624
8,16.7104,1.42288,1.74269,2.54912,1.2276,0.85599,0.99195,0.97214,0.34025,0.85599,0.99195,0.97214,0.5189,1.86206,1.76533,3.57577,1.44156,0.00014122,0.00014122,0.00014122
9,18.1819,1.37904,1.82182,2.31236,1.20152,0.73875,0.83333,0.94167,0.34658,0.73875,0.83333,0.94167,0.44101,1.89402,1.62964,3.69985,1.3422,0.00010816,0.00010816,0.00010816
10,19.4459,1.30205,1.66016,2.17413,1.14543,0.92615,0.83333,0.92227,0.34489,0.92615,0.83333,0.92227,0.42853,1.91499,1.68432,3.61059,1.34974,6.322e-05,6.322e-05,6.322e-05
