epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80902,3.17969,4.80557,11.4691,2.3316,0,0,0,0,0,0,0,0,5.02318,4.84167,9.977,3.40271,4e-05,4e-05,4e-05
2,8.03313,3.22156,4.62828,9.73973,2.24979,0,0,0,0,0,0,0,0,5.05557,4.75311,9.7905,3.40785,9.901e-05,9.901e-05,9.901e-05
3,9.19291,2.87504,4.43538,10.4901,2.19155,0.00778,0.33333,0.01623,0.0057,0.02478,0.16667,0.03606,0.0142,2.31451,2.74842,5.62702,2.10709,0.000156832,0.000156832,0.000156832
4,10.6575,1.914,2.56663,4.29612,1.62751,0.74848,1,0.90071,0.27533,0.74848,1,0.90071,0.23587,2.01368,1.8359,9.33126,1.77539,0.000213466,0.000213466,0.000213466
5,12.2445,1.76871,2.0761,3.09178,1.39876,0.83612,1,0.97214,0.28214,0.83612,1,0.97214,0.28512,2.10135,2.5651,5.42232,1.84193,0.000268912,0.000268912,0.000268912
6,13.6968,1.55909,2.15826,2.51935,1.29782,0.83799,1,0.97214,0.32701,0.83799,1,0.97214,0.41044,1.61698,1.78495,3.17059,1.29454,0.00032317,0.00032317,0.00032317
7,15.1515,1.57654,1.79069,2.30989,1.34836,0.72799,1,0.92667,0.24777,0.72799,1,0.92667,0.27621,1.77599,2.55532,3.03243,1.58154,0.00037624,0.00037624,0.00037624
8,16.3838,1.4654,1.84825,2.05566,1.29198,0.79752,0.66667,0.82627,0.33362,1,0.82831,0.97214,0.36973,1.8167,2.5127,2.90442,1.63732,0.000428122,0.000428122,0.000428122
9,17.6761,1.50613,1.88611,2.30668,1.34066,0.59836,0.5,0.4691,0.21764,0.43438,0.5,0.55387,0.20162,1.76589,2.26998,3.02726,1.52099,0.000478816,0.000478816,0.000478816
10,18.8671,1.48673,1.86342,1.63558,1.20071,0.84186,1,0.97214,0.32588,0.84186,1,0.97214,0.26206,2.04866,2.45103,2.7543,1.79079,0.000528322,0.000528322,0.000528322
